,Country,value
0,USA,78
1,UK,93
2,Canada,76
3,Australia,86
4,Germany,33
5,Japan,12
6,Netherlands,21
7,Singapore,18
8,France,27
9,Switzerland,20
10,Sweden,10
11,Denmark,15
12,China,12
13,South Korea,23
14,Ireland,10
15,New Zealand,9
16,Austria,9
17,Belgium,9
18,Hong Kong,1
19,Portugal,9
20,Israel,1
21,Taiwan,1
22,Czech Republic,1
23,India,8
24,Poland,8
25,Malaysia,10
26,Spain,17
27,Italy,17
28,Finland,11
29,Norway,11
30,Brazil,8
31,Turkey,9
32,Russia,9
33,Mexico,9
34,Greece,17
35,Thailand,8
36,UAE,8
37,South Africa,1
38,Egypt,7
39,Argentina,6
40,Indonesia,8
41,Saudi Arabia,10
42,Nigeria,1
43,Vietnam,1
44,Hungary,8
45,Iceland,6
46,Colombia,6
47,Romania,7
48,Luxembourg,7
49,Tunisia,6
50,Cyprus,6
51,Croatia,6
52,Dominican Republic,5
53,Morocco,6
54,Peru,6
55,Ecuador,5
56,Lebanon,5
57,Bahrain,5
58,Uruguay,5
59,Bulgaria,5
60,Ghana,5
61,Algeria,5
62,Panama,5
63,Bangladesh,5
64,Kuwait,5
65,Ukraine,5
66,Slovenia,5
67,Serbia,5
68,Iran,5
69,Uzbekistan,5
70,El Salvador,5
