Country,Tuition_USD,Rent/year,Visa_Fee_USD,total
Argentina,0,21120,600,21720
Finland,0,113400,3620,117020
Iceland,0,73200,840,74040
Norway,0,136800,2885,139685
Sweden,0,111000,1180,112180
Nigeria,2500,4800,180,7480
Greece,2500,97080,1720,101300
Luxembourg,2800,99600,700,103100
Vietnam,3200,5400,120,8720
Taiwan,5200,8400,140,13740
Algeria,5500,12120,400,18020
Germany,5850,378600,3175,387625
South Africa,5900,7200,140,13240
Brazil,8000,44760,790,53550
Tunisia,8400,13320,360,22080
Czech Republic,9800,7800,100,17700
Bangladesh,11100,11520,500,23120
Turkey,11500,44760,820,57080
Morocco,11700,20160,420,32280
Israel,12000,14400,150,26550
Serbia,12600,18240,450,31290
Austria,13500,85800,1440,100740
Uruguay,13500,22920,450,36870
Iran,14000,19800,750,34550
India,15200,30000,1460,46660
Romania,15300,30360,840,46500
Bulgaria,16000,20400,550,36950
Ukraine,17600,20400,600,38600
Uzbekistan,18100,13800,800,32700
Ghana,20000,13920,600,34520
Slovenia,20700,25800,400,46900
Colombia,21300,22560,480,44340
Croatia,21500,28080,480,50060
Hong Kong,22000,18000,120,40120
Poland,22100,54360,640,77100
El Salvador,24000,19800,550,44350
Dominican Republic,25800,17280,500,43580
Denmark,25800,198600,5070,229470
Switzerland,29200,405600,2176,436976
Indonesia,31200,28680,1180,61060
Belgium,32100,89400,1620,123120
Egypt,32900,19560,730,53190
Panama,33000,26160,500,59660
Ecuador,36800,19800,500,57100
Bahrain,38000,37800,650,76450
Russia,41600,49200,1400,92200
Peru,43500,20760,720,64980
Hungary,44800,34200,1120,80120
Cyprus,46500,36120,600,83220
Saudi Arabia,47900,81720,2050,131670
Mexico,51300,54720,480,106500
Portugal,53100,63360,720,117180
Spain,54200,166200,1440,221840
Kuwait,59000,42960,700,102660
Italy,60800,198000,2040,260840
Lebanon,71000,28440,750,100190
Malaysia,72200,51960,1190,125350
Thailand,78800,31200,700,110700
China,91000,88440,1680,181120
Japan,94500,109200,2640,206340
France,125100,343800,2673,471573
South Korea,137600,184800,2190,324590
Ireland,178900,135600,1500,316000
UAE,197500,85200,2160,284860
New Zealand,264000,108600,2885,375485
Netherlands,284000,253200,3708,540908
Singapore,615100,301200,1620,917920
Canada,2238700,1065000,17860,3321560
UK,2821800,1357200,45355,4224355
Australia,2976500,1405200,38700,4420400
USA,3723900,1740000,12480,5476380
