Temperature,Vibration,Pressure,Humidity,Power_Consumption,Failure
45,2.1,5.5,60,120,0
48,2.3,5.6,62,125,0
50,2.5,5.8,65,130,0
55,3.0,6.0,70,150,1
60,3.5,6.3,72,170,1
42,2.0,5.4,58,118,0
47,2.4,5.7,63,128,0
53,2.8,5.9,68,140,0
58,3.2,6.2,71,160,1
62,3.6,6.5,74,180,1
44,2.1,5.5,59,122,0
49,2.5,5.8,64,132,0
54,2.9,6.0,69,145,0
57,3.3,6.3,73,165,1
63,3.7,6.6,75,185,1
43,2.0,5.4,57,119,0
46,2.3,5.6,61,126,0
52,2.7,5.9,67,138,0
59,3.4,6.4,72,168,1
61,3.6,6.5,74,178,1
45,2.2,5.5,60,121,0
48,2.4,5.7,63,129,0
51,2.6,5.8,66,135,0
56,3.1,6.1,70,155,1
60,3.5,6.3,73,172,1
41,1.9,5.3,56,115,0
47,2.3,5.6,62,127,0
53,2.9,6.0,69,142,0
58,3.2,6.2,71,162,1
64,3.8,6.7,76,190,1
44,2.1,5.4,59,120,0
49,2.6,5.8,65,134,0
55,3.0,6.1,70,150,1
59,3.3,6.4,72,169,1
62,3.7,6.6,75,182,1
43,2.0,5.5,58,118,0
46,2.2,5.6,61,125,0
52,2.8,5.9,68,140,0
57,3.1,6.2,71,160,1
63,3.6,6.5,74,185,1
45,2.2,5.5,60,122,0
48,2.4,5.7,63,130,0
54,2.9,6.0,69,148,0
58,3.3,6.3,72,168,1
61,3.6,6.6,74,178,1
42,2.0,5.4,57,117,0
47,2.3,5.6,62,128,0
53,2.8,6.0,68,142,0
59,3.4,6.4,73,170,1
65,3.9,6.8,77,195,1
44,2.1,5.5,59,121,0
50,2.6,5.8,65,135,0
55,3.0,6.1,70,150,1
60,3.5,6.3,73,175,1
63,3.8,6.7,76,190,1
43,2.0,5.4,58,119,0
46,2.2,5.6,61,126,0
52,2.7,5.9,67,139,0
58,3.2,6.2,72,165,1
64,3.9,6.9,78,200,1
45,2.2,5.5,60,123,0
49,2.5,5.8,64,133,0
54,2.9,6.0,69,147,0
57,3.2,6.3,72,166,1
62,3.7,6.6,75,182,1
41,1.8,5.3,55,112,0
48,2.4,5.7,63,129,0
53,2.8,6.0,68,141,0
59,3.4,6.4,73,169,1
66,4.0,7.0,80,210,1
44,2.1,5.5,59,120,0
50,2.6,5.8,65,134,0
56,3.1,6.1,71,152,1
60,3.5,6.3,73,175,1
63,3.8,6.7,76,188,1
42,2.0,5.4,57,116,0
47,2.3,5.6,62,127,0
52,2.7,5.9,68,140,0
58,3.3,6.3,72,168,1
65,4.1,7.1,82,220,1
