soil_moisture,temperature,humidity,light_intensity,rain_probability,wind_speed,target
70,30,60,800,80,5,0
65,32,55,750,75,4,0
72,29,58,820,90,6,0
68,31,62,790,85,5,0
75,28,65,810,88,7,0
73,27,63,830,92,6,0
69,30,61,805,86,5,0
71,29,64,815,89,6,0
74,28,66,840,93,7,0
67,31,59,780,84,4,0
70,30,60,800,80,5,0
65,32,55,750,75,4,0
72,29,58,820,90,6,0
68,31,62,790,85,5,0
75,28,65,810,88,7,0
73,27,63,830,92,6,0
69,30,61,805,86,5,0
71,29,64,815,89,6,0
74,28,66,840,93,7,0
67,31,59,780,84,4,0
30,35,40,900,10,3,1
25,34,45,920,15,2,1
28,36,42,950,12,3,1
32,33,38,910,18,4,1
27,37,41,940,14,3,1
29,35,39,930,16,2,1
31,34,37,905,11,3,1
26,36,43,960,13,2,1
24,38,44,970,9,1,1
33,33,36,890,20,4,1
30,35,40,900,10,3,1
25,34,45,920,15,2,1
28,36,42,950,12,3,1
32,33,38,910,18,4,1
27,37,41,940,14,3,1
29,35,39,930,16,2,1
31,34,37,905,11,3,1
26,36,43,960,13,2,1
24,38,44,970,9,1,1
33,33,36,890,20,4,1
