No,Usia,Pendapatan,Skor_Kredit,Rasio_Hutang,Status
1,22,45,580,45,0
2,25,50,600,40,0
3,28,55,620,38,0
4,30,60,650,35,1
5,32,65,680,30,1
6,35,70,700,28,1
7,38,75,720,25,1
8,40,80,750,22,1
9,42,85,770,20,1
10,45,90,800,18,1
11,23,48,590,44,0
12,26,52,610,39,0
13,29,58,640,36,1
14,31,63,670,32,1
15,34,68,690,29,1
16,37,73,710,26,1
17,39,78,740,23,1
18,41,83,760,21,1
19,44,88,790,19,1
20,47,95,820,17,1
21,24,46,585,43,0
22,27,53,615,37,0
23,30,59,645,34,1
24,33,66,675,31,1
25,36,72,705,27,1
26,38,77,725,24,1
27,40,82,755,22,1
28,43,87,780,20,1
29,46,92,810,18,1
30,50,100,830,15,1
31,22,44,570,46,0
32,25,49,600,41,0
33,28,54,630,38,0
34,31,61,660,33,1
35,34,67,690,30,1
36,37,74,720,26,1
37,39,79,750,23,1
38,42,84,770,21,1
39,45,90,800,19,1
40,48,96,825,16,1
41,23,47,590,44,0
42,26,51,610,39,0
43,29,57,640,35,1
44,32,64,670,32,1
45,35,69,700,28,1
46,38,75,730,25,1
47,41,80,760,22,1
48,44,86,790,20,1
49,47,93,815,18,1
50,52,105,840,14,1
51,21,42,560,48,0
52,24,48,590,43,0
53,27,54,620,38,0
54,30,60,650,35,1
55,33,66,680,31,1
56,36,72,710,27,1
57,39,78,740,23,1
58,42,85,770,21,1
59,45,91,800,19,1
60,49,98,830,16,1
61,22,43,575,47,0
62,25,50,605,41,0
63,28,56,635,37,0
64,31,62,665,33,1
65,34,68,695,29,1
66,37,74,725,26,1
67,40,80,755,23,1
68,43,86,785,20,1
69,46,92,815,18,1
70,50,100,840,15,1
71,23,46,585,44,0
72,26,52,615,39,0
73,29,58,645,36,1
74,32,64,675,32,1
75,35,70,705,28,1
76,38,76,735,25,1
77,41,82,765,22,1
78,44,88,795,20,1
79,47,95,820,17,1
80,51,102,845,14,1
81,22,45,580,45,0
82,25,51,610,40,0
83,28,57,640,37,0
84,31,63,670,33,1
85,34,69,700,30,1
86,37,75,730,26,1
87,40,81,760,23,1
88,43,87,790,21,1
89,46,94,820,18,1
90,50,101,845,15,1
91,24,47,590,44,0
92,27,53,620,38,0
93,30,59,650,35,1
94,33,66,680,31,1
95,36,72,710,27,1
96,39,78,740,23,1
97,42,85,770,21,1
98,45,92,800,19,1
99,48,98,830,16,1
100,52,110,850,13,1
